"Market-wise, Commodity-wise Daily Report for a State on 15-Apr-2026 State : Maharashtra"

Commodity,Arrivals,Unit of Arrivals,Variety,Minimum Prices,Maximum Prices,Modal Prices,Unit of Price
Market Name : ACF Agro Marketing  APMC
Commodity Group Name : Fibre Crops
Cotton,12.77,Metric Tonnes,Other,7400.0,7500.0,7498.0,Rs./Quintal
Market Name : Aarni APMC
Commodity Group Name : Pulses
Bengal Gram(Gram)(Whole),96.0,Metric Tonnes,Other,4800.0,5250.0,5075.0,Rs./Quintal
Market Name : Achalpur APMC
Commodity Group Name : Cereals
Maize,30.0,Metric Tonnes,Other,1500.0,1600.0,1550.0,Rs./Quintal
Wheat,189.0,Metric Tonnes,Other,2200.0,2525.0,2375.0,Rs./Quintal
Commodity Group Name : Pulses
Arhar(Tur/Red Gram)(Whole),20.0,Metric Tonnes,Other,7000.0,7800.0,7400.0,Rs./Quintal
Bengal Gram(Gram)(Whole),27.5,Metric Tonnes,Other,5000.0,5200.0,5100.0,Rs./Quintal
Market Name : Ahmedpur APMC
Commodity Group Name : Cereals
Jowar(Sorghum),12.2,Metric Tonnes,Other,3699.0,4200.0,3949.0,Rs./Quintal
Maize,0.3,Metric Tonnes,Other,1600.0,1600.0,1600.0,Rs./Quintal
Wheat,24.7,Metric Tonnes,Other,2585.0,2816.0,2700.0,Rs./Quintal
Commodity Group Name : Oil Seeds
Groundnut,0.3,Metric Tonnes,Other,4500.0,4500.0,4500.0,Rs./Quintal
Mustard,0.4,Metric Tonnes,Other,6200.0,6400.0,6300.0,Rs./Quintal
Soyabean,101.6,Metric Tonnes,Yellow,5328.0,5372.0,5350.0,Rs./Quintal
Commodity Group Name : Pulses
Arhar(Tur/Red Gram)(Whole),13.3,Metric Tonnes,Other,4500.0,7322.0,6901.0,Rs./Quintal
Bengal Gram(Gram)(Whole),20.5,Metric Tonnes,Other,4300.0,5372.0,5228.0,Rs./Quintal
Black Gram(Urd Beans)(Whole),0.4,Metric Tonnes,Other,3500.0,4100.0,3800.0,Rs./Quintal
Green Gram(Moong)(Whole),0.3,Metric Tonnes,Other,3000.0,4501.0,3834.0,Rs./Quintal
Market Name : Akluj APMC
Commodity Group Name : Fruits
Chikoos(Sapota),0.8,Metric Tonnes,Other,2000.0,3500.0,3000.0,Rs./Quintal
Lime,10.0,Metric Tonnes,Other,2000.0,5000.0,3000.0,Rs./Quintal
Water Melon,2.2,Metric Tonnes,Other,800.0,1000.0,900.0,Rs./Quintal
Commodity Group Name : Pulses
Beans,1.0,Metric Tonnes,Other,1800.0,3200.0,2500.0,Rs./Quintal
Commodity Group Name : Vegetables
Beetroot,1.2,Metric Tonnes,Other,1000.0,1500.0,1200.0,Rs./Quintal
Bhindi(Ladies Finger),1.6,Metric Tonnes,Other,2200.0,3000.0,2700.0,Rs./Quintal
Bitter gourd,1.2,Metric Tonnes,Other,2500.0,4000.0,3500.0,Rs./Quintal
Brinjal,1.5,Metric Tonnes,Other,1000.0,2000.0,1500.0,Rs./Quintal
Cabbage,2.0,Metric Tonnes,Other,500.0,800.0,700.0,Rs./Quintal
Carrot,1.0,Metric Tonnes,Other,2000.0,3000.0,2500.0,Rs./Quintal
Cauliflower,2.0,Metric Tonnes,Other,1000.0,1800.0,1500.0,Rs./Quintal
Cucumbar(Kheera),1.8,Metric Tonnes,Other,800.0,1200.0,1000.0,Rs./Quintal
Drumstick,1.0,Metric Tonnes,Other,1500.0,2000.0,1800.0,Rs./Quintal
Garlic,1.0,Metric Tonnes,Other,7000.0,9000.0,8000.0,Rs./Quintal
Green Chilli,1.5,Metric Tonnes,Other,2800.0,3500.0,3000.0,Rs./Quintal
Guar,1.0,Metric Tonnes,Other,4000.0,6000.0,5000.0,Rs./Quintal
Methi(Leaves),1700.0,Metric Tonnes,Other,15.0,20.0,18.0,Rs./Quintal
Potato,10.5,Metric Tonnes,Local,1000.0,1200.0,1000.0,Rs./Quintal
Ridgeguard(Tori),1.4,Metric Tonnes,Other,2000.0,3000.0,2500.0,Rs./Quintal
Spinach,2200.0,Metric Tonnes,Other,7.0,9.0,8.0,Rs./Quintal
Market Name : Akola APMC
Commodity Group Name : Cereals
Jowar(Sorghum),12.2,Metric Tonnes,Other,2480.0,2620.0,2580.0,Rs./Quintal
Wheat,99.3,Metric Tonnes,Other,2155.0,2555.0,2285.0,Rs./Quintal
,100.0,Metric Tonnes,Other,2600.0,2895.0,2680.0,Rs./Quintal
Commodity Group Name : Oil Seeds
Soyabean,215.2,Metric Tonnes,Yellow,5330.0,5560.0,5495.0,Rs./Quintal
Commodity Group Name : Pulses
Arhar(Tur/Red Gram)(Whole),147.5,Metric Tonnes,Other,7000.0,7950.0,7350.0,Rs./Quintal
Bengal Gram(Gram)(Whole),22.6,Metric Tonnes,Kabul Small,6500.0,7100.0,6895.0,Rs./Quintal
,117.4,Metric Tonnes,Other,5000.0,5445.0,5300.0,Rs./Quintal
Black Gram(Urd Beans)(Whole),0.3,Metric Tonnes,Other,5710.0,5710.0,5710.0,Rs./Quintal
Commodity Group Name : Spices
Chili Red,2.4,Metric Tonnes,Other,14000.0,26000.0,21000.0,Rs./Quintal
Commodity Group Name : Vegetables
Garlic,17.0,Metric Tonnes,Other,3500.0,11000.0,8500.0,Rs./Quintal
Ginger(Green),2.5,Metric Tonnes,Other,3500.0,4200.0,3800.0,Rs./Quintal
Onion,63.5,Metric Tonnes,Other,400.0,1100.0,800.0,Rs./Quintal
Potato,118.0,Metric Tonnes,Other,500.0,1100.0,800.0,Rs./Quintal
Market Name : Alibagh APMC
Commodity Group Name : Cereals
Rice,1.0,Metric Tonnes,Other,2500.0,2700.0,2600.0,Rs./Quintal
Market Name : Amalner APMC
Commodity Group Name : Cereals
Bajra(Pearl Millet/Cumbu),50.0,Metric Tonnes,Other,2170.0,2300.0,2300.0,Rs./Quintal
Jowar(Sorghum),70.0,Metric Tonnes,Other,2600.0,3612.0,3612.0,Rs./Quintal
,500.0,Metric Tonnes,Other,2076.0,2600.0,2600.0,Rs./Quintal
Maize,400.0,Metric Tonnes,Deshi Red,1641.0,1813.0,1813.0,Rs./Quintal
Wheat,70.0,Metric Tonnes,Other,2230.0,2381.0,2381.0,Rs./Quintal
Commodity Group Name : Pulses
Arhar(Tur/Red Gram)(Whole),3.0,Metric Tonnes,Other,6700.0,7000.0,7000.0,Rs./Quintal
Bengal Gram(Gram)(Whole),70.0,Metric Tonnes,Average (Whole),5000.0,5200.0,5200.0,Rs./Quintal
,80.0,Metric Tonnes,Kabul Small,5400.0,5850.0,5850.0,Rs./Quintal
Market Name : Amarawati APMC
Commodity Group Name : Cereals
Bajra(Pearl Millet/Cumbu),0.1,Metric Tonnes,Other,2300.0,2500.0,2400.0,Rs./Quintal
Maize,0.1,Metric Tonnes,Deshi Red,1550.0,1650.0,1600.0,Rs./Quintal
Wheat,317.7,Metric Tonnes,Other,2100.0,2500.0,2300.0,Rs./Quintal
Commodity Group Name : Fibre Crops
Cotton,5.0,Metric Tonnes,Other,8100.0,8300.0,8200.0,Rs./Quintal
Commodity Group Name : Oil Seeds
"Sesamum(Sesame,Gingelly,Til)",0.1,Metric Tonnes,White,7000.0,7500.0,7250.0,Rs./Quintal
Soyabean,203.1,Metric Tonnes,Other,5000.0,5400.0,5200.0,Rs./Quintal
Commodity Group Name : Pulses
Arhar(Tur/Red Gram)(Whole),578.7,Metric Tonnes,Other,7150.0,7735.0,7442.0,Rs./Quintal
Bengal Gram(Gram)(Whole),288.3,Metric Tonnes,Other,5000.0,5400.0,5200.0,Rs./Quintal
Black Gram(Urd Beans)(Whole),0.1,Metric Tonnes,Other,6100.0,6500.0,6300.0,Rs./Quintal
Green Gram(Moong)(Whole),0.1,Metric Tonnes,Other,6700.0,7200.0,6950.0,Rs./Quintal
Market Name : Amrawati(Frui & Veg. Market) APMC
Commodity Group Name : Fruits
Chikoos(Sapota),5.7,Metric Tonnes,Other,3000.0,4000.0,3500.0,Rs./Quintal
Grapes,3.5,Metric Tonnes,Other,6000.0,7000.0,6500.0,Rs./Quintal
Karbuja(Musk Melon),38.6,Metric Tonnes,Other,1200.0,1600.0,1400.0,Rs./Quintal
Lime,3.9,Metric Tonnes,Other,6000.0,8000.0,7000.0,Rs./Quintal
Mango,10.9,Metric Tonnes,Totapuri,3000.0,3500.0,3250.0,Rs./Quintal
Mousambi(Sweet Lime),6.7,Metric Tonnes,Other,2000.0,2200.0,2100.0,Rs./Quintal
Papaya,7.7,Metric Tonnes,Other,1600.0,2000.0,1800.0,Rs./Quintal
Pomegranate,0.1,Metric Tonnes,Other,12000.0,13000.0,12500.0,Rs./Quintal
Commodity Group Name : Vegetables
Beetroot,4.0,Metric Tonnes,Other,1200.0,1400.0,1300.0,Rs./Quintal
Bhindi(Ladies Finger),6.9,Metric Tonnes,Other,2200.0,2400.0,2300.0,Rs./Quintal
Bitter gourd,4.8,Metric Tonnes,Other,2000.0,2500.0,2250.0,Rs./Quintal
Brinjal,7.9,Metric Tonnes,Other,1000.0,1500.0,1250.0,Rs./Quintal
Cabbage,10.9,Metric Tonnes,Other,1000.0,1200.0,1100.0,Rs./Quintal
Carrot,6.8,Metric Tonnes,Other,2600.0,3000.0,2800.0,Rs./Quintal
Cauliflower,6.9,Metric Tonnes,Other,1500.0,2000.0,1750.0,Rs./Quintal
Chilly Capsicum,1.0,Metric Tonnes,Other,2200.0,2600.0,2400.0,Rs./Quintal
Coriander(Leaves),10.8,Bundle,Other,1200.0,1600.0,1400.0,Rs./Bundle
Cucumbar(Kheera),7.0,Metric Tonnes,Other,1400.0,1600.0,1500.0,Rs./Quintal
Garlic,10.8,Metric Tonnes,Other,3000.0,11000.0,7000.0,Rs./Quintal
Ginger(Green),7.0,Metric Tonnes,Other,4500.0,5500.0,5000.0,Rs./Quintal
Green Chilli,6.9,Metric Tonnes,Other,3200.0,3600.0,3400.0,Rs./Quintal
Guar,1.0,Metric Tonnes,Other,4200.0,4800.0,4500.0,Rs./Quintal
Mango(Raw-Ripe),7.9,Metric Tonnes,Other,3000.0,4000.0,3500.0,Rs./Quintal
Methi(Leaves),6.9,Metric Tonnes,Other,1500.0,2000.0,1750.0,Rs./Quintal
Onion,40.7,Metric Tonnes,Red,400.0,1600.0,1000.0,Rs./Quintal
Potato,48.8,Metric Tonnes,Local,400.0,1400.0,900.0,Rs./Quintal
Pumpkin,7.0,Metric Tonnes,Other,1400.0,1600.0,1500.0,Rs./Quintal
Spinach,15.0,Metric Tonnes,Other,800.0,1200.0,1000.0,Rs./Quintal
Tomato,31.6,Metric Tonnes,Local,1000.0,1400.0,1200.0,Rs./Quintal
Market Name : Armori APMC
Commodity Group Name : Cereals
Paddy(Common),9.0,Metric Tonnes,Other,2610.0,2750.0,2730.0,Rs./Quintal
Market Name : Armori(Desaiganj) APMC
Commodity Group Name : Cereals
Paddy(Common),21.0,Metric Tonnes,Other,2600.0,3000.0,2776.0,Rs./Quintal
,25.7,Metric Tonnes,Other,1900.0,2150.0,1989.0,Rs./Quintal
Market Name : Arvi APMC
Commodity Group Name : Oil Seeds
Soyabean,15.0,Metric Tonnes,Yellow,4400.0,5250.0,5000.0,Rs./Quintal
Commodity Group Name : Pulses
Arhar(Tur/Red Gram)(Whole),45.0,Metric Tonnes,Other,6000.0,7500.0,7000.0,Rs./Quintal
Bengal Gram(Gram)(Whole),70.0,Metric Tonnes,Other,4500.0,5160.0,5000.0,Rs./Quintal
Market Name : Ashti APMC
Commodity Group Name : Cereals
Wheat,11.0,Metric Tonnes,Other,1500.0,2370.0,1900.0,Rs./Quintal
Commodity Group Name : Oil Seeds
Soyabean,1.4,Metric Tonnes,Yellow,5000.0,5300.0,5200.0,Rs./Quintal
,0.1,Metric Tonnes,Yellow,5470.0,5470.0,5470.0,Rs./Quintal
Commodity Group Name : Pulses
Arhar(Tur/Red Gram)(Whole),20.0,Metric Tonnes,Other,7000.0,7330.0,7150.0,Rs./Quintal
Bengal Gram(Gram)(Whole),12.0,Metric Tonnes,Other,4000.0,5240.0,4800.0,Rs./Quintal
Market Name : Ashti(Karanja) APMC
Commodity Group Name : Cereals
Wheat,22.3,Metric Tonnes,Other,2000.0,2260.0,2100.0,Rs./Quintal
Commodity Group Name : Oil Seeds
Soyabean,183.0,Metric Tonnes,Yellow,5330.0,5580.0,5350.0,Rs./Quintal
Commodity Group Name : Pulses
Arhar(Tur/Red Gram)(Whole),21.7,Metric Tonnes,Other,6800.0,7225.0,7000.0,Rs./Quintal
Bengal Gram(Gram)(Whole),12.5,Metric Tonnes,Other,4750.0,5080.0,4900.0,Rs./Quintal
Market Name : Aurad Shahajani APMC
Commodity Group Name : Cereals
Jowar(Sorghum),1.0,Metric Tonnes,Jowar ( White),2000.0,3501.0,2750.0,Rs./Quintal
Wheat,2.3,Metric Tonnes,Maharashtra 2189,2585.0,3000.0,2800.0,Rs./Quintal
,1.1,Metric Tonnes,Maharashtra 2189,2150.0,2584.0,2400.0,Rs./Quintal
Commodity Group Name : Oil Seeds
Safflower,1.5,Metric Tonnes,Other,5250.0,5600.0,5425.0,Rs./Quintal
Soyabean,25.0,Metric Tonnes,Yellow,5328.0,5525.0,5500.0,Rs./Quintal
,1.0,Metric Tonnes,Yellow,5260.0,5327.0,5300.0,Rs./Quintal
Commodity Group Name : Pulses
Arhar(Tur/Red Gram)(Whole),9.5,Metric Tonnes,Other,7000.0,7600.0,7300.0,Rs./Quintal
Bengal Gram(Gram)(Whole),18.0,Metric Tonnes,Other,5110.0,5440.0,5275.0,Rs./Quintal
Market Name : BSK Krishi Bazar Private Ltd APMC
Commodity Group Name : Cereals
